id;seccion;edad;pf_ac1;pf_ac2;pf_ac3;pf_alg_2019;pf_alg_2020;alg_1b_2021;alg_2b_2021;alg_3b_2021;alg_4b_2021;ind_nivel_algebra;grupo_mate;genero;anios_colegio;condicion_pago;pe1;pe2;horas_asincronas;valoracion_clases;dispos_clases;calidad_internet
544;1;16;20;20;20;18;19;18;19;20;20;3;0;0;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;2;Muy buena
545;2;17;12;14;16;12;13;12;14;14;10;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
546;2;16;12;14;16;11;13;13;11;11;12;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
547;2;16;10;10;11;11;12;10;10;10;12;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;1;Media
548;2;16;12;16;17;12;11;12;11;11;12;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
549;2;16;14;15;18;12;12;14;13;13;12;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
550;2;16;15;17;19;17;17;16;17;18;16;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;3;Buena
551;2;17;13;14;17;11;14;10;14;14;11;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;1;Media
552;2;16;16;17;19;18;16;15;15;16;18;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
553;2;17;12;16;18;13;13;12;13;11;14;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;2;Media
554;2;17;14;17;19;12;15;14;13;10;15;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
555;2;17;13;16;19;15;14;15;15;15;14;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
556;2;17;14;16;18;15;13;15;13;14;14;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
557;2;16;14;15;18;13;11;15;14;11;14;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
558;2;17;12;13;14;13;14;12;12;17;15;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;4;Media
559;2;17;16;18;20;15;17;17;17;16;15;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
560;2;17;12;15;19;14;13;13;13;13;14;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
561;2;16;13;18;20;16;15;16;15;17;17;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;2;Buena
562;2;16;12;14;17;12;12;13;13;12;13;2;0;1;5;1;Facil;Indiferente;2 horas;Indiferente;4;Media
563;2;17;12;15;16;14;14;13;12;13;14;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
564;2;16;12;13;16;14;14;9;12;13;14;2;0;0;5;1;Ni facil ni dificil;Bueno;3 horas;Satisfecho;1;Buena
565;2;17;15;17;19;16;18;16;14;18;17;3;0;1;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
566;2;17;7;9;10;11;11;11;10;9;9;2;0;1;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;1;Media
567;2;16;9;13;16;12;11;12;12;12;11;2;0;1;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;1;Media
568;2;17;7;12;13;11;11;11;11;11;11;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
569;2;16;17;16;19;16;17;14;16;17;17;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
570;2;17;17;18;20;16;17;17;17;17;16;3;0;1;5;1;Muy facil;Excelente;De 4 horas a mas;Muy satisfecho;4;Muy buena
571;2;17;14;15;18;15;15;15;16;16;15;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
572;2;17;13;15;17;13;12;13;12;14;14;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;3;Media
573;2;16;16;18;18;16;16;15;16;15;15;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
574;3;16;16;17;18;13;13;13;15;13;15;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
575;3;17;7;8;12;11;11;9;8;8;11;2;0;1;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
576;3;16;13;16;17;13;13;14;15;13;12;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
577;3;16;11;13;15;16;13;13;13;17;13;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
578;3;16;13;16;18;13;15;11;12;15;15;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
579;3;16;10;14;17;11;13;13;12;11;11;2;0;1;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;3;Media
580;3;17;13;13;16;15;14;14;16;15;14;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
581;3;17;15;16;19;15;14;16;15;16;14;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
582;3;17;15;17;20;15;14;13;15;16;15;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
583;3;17;14;14;16;13;13;13;16;14;14;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
584;3;16;10;13;14;11;11;9;10;12;10;2;0;0;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;4;Media
585;3;17;11;16;17;11;11;13;10;14;13;2;0;0;5;1;Facil;Indiferente;2 horas;Indiferente;3;Media
586;3;17;15;16;17;17;16;15;17;16;15;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
587;3;16;11;13;16;15;14;13;11;15;11;2;0;1;5;1;Facil;Indiferente;2 horas;Indiferente;4;Media
588;3;16;13;15;18;16;16;13;12;16;12;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
589;3;17;13;14;17;15;16;15;14;17;15;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;4;Buena
590;3;16;12;13;15;13;13;14;11;14;11;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
591;3;16;13;14;17;13;13;15;15;13;14;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
592;3;17;13;14;17;13;13;12;14;14;13;2;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
593;3;17;12;14;15;11;13;11;12;12;13;2;0;1;5;1;Ni facil ni dificil;Indiferente;2 horas;Indiferente;2;Media
594;3;17;15;15;17;17;17;15;16;17;13;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
595;3;16;15;15;18;17;16;17;17;17;16;3;0;0;5;1;Muy facil;Bueno;3 horas;Satisfecho;1;Buena
596;3;16;14;14;16;14;14;15;16;15;13;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;1;Buena
597;3;16;14;15;16;17;16;16;15;17;16;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;2;Buena
598;3;17;14;16;18;17;16;15;15;18;16;3;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
599;3;16;12;13;16;12;16;11;16;15;13;2;0;1;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
600;3;16;15;18;19;17;15;14;14;17;18;3;0;0;5;1;Facil;Bueno;3 horas;Satisfecho;3;Buena
